Abaca fibre		22654
Agave fibres		6549
Almonds, shelled or peeled		16095
Almonds, with shell		8047
Anise		8280
Apple juice		1141
Apples, dried		6847
Apples, fresh		822
Apricots		1287
Areca nuts		11165
Artichokes		818
Asparagus		2150
Avocados		1981
Badian		8280
Bananas		790
Barley		1423
Barley, rolled or flaked grains		1977
Beans, dry		5053
Beans, green		561
Beef	Cow meat, steak	15415
Beer		298
Blueberries		845
Bread (wheat)		1608
Broad beans, dry	Horse beans	2018
Broccoli		285
Brussels sprouts		285
Buckwheat		3142
Butter		5553
Cabbages		280
Cane molasses		527
Cardamoms		34319
Carobs		5594
Carrots		195
Cashew apple		3793
Cashew nuts		14218
Cassava	Manioc	564
Cassava flour		1878
Cassava starch	Manioc	2254
Cassava, dried		1610
Cassava, tapioca		2818
Castor oil		24740
Castor oil seeds		9896
Cauliflowers		285
Cheese		5060
Cherries		1604
Chestnuts		2750
Chick peas	Chickpeas	4177
Chicken meat		4325
Chillies and peppers, dry		7365
Chillies and peppers, green		379
Chocolate		17196
Cinnamon	Canella	15526
Clementine		748
Cloves		61205
Cocoa beans		19928
Cocoa butter, fat and oil		33938
Cocoa paste		24238
Cocoa powder		15636
Coconut fibre	Coir	2449
Coconut oil	Copra	4490
Coconuts, dehusked		2687
Coconuts, with husk		1256
Coffee, green		15897
Coffee, roasted		18925
Copra		2093
Coriander		8280
Coriander seeds		8280
Cotton fabric		9982
Cotton lint		9113
Cotton linters		2602
Cotton seeds		1332
Cottonseed	Seed cotton	4029
Cottonseed oil		3957
Cowpeas, dry		6906
Cranberries		276
Cucumbers		353
Currants		499
Dates		2277
Egg		3265
Eggplants	Aubergines	362
Fennel		8280
Figs		3350
Flax fibre		3783
Fructose		1782
Garlic		589
Garlic powder		2265
Gherkins		353
Ginger		1657
Goat meat	Chevon, cabrito, capretto	5521
Gooseberries		526
Gourds		336
Grapefruit		506
Grapefruit juice		675
Grapes		608
Green beans	String	547
Guavas		1800
Hazelnuts, shelled or peeled		10515
Hazelnuts, with shell		5258
Hemp fibre		2447
Hempseed		3685
Hop cones		4065
Hop extract		16259
Jute		2605
Kiwi fruit		514
Kola nuts		23391
Lamb	Sheep meat, hogget, mutton	10412
Leather from beef cattle		17093
Lemons		642
Lentils		5874
Lettuce		237
Limes		642
Linseed		5168
Linseed oil		9415
Maize	Corn	1222
Maize flour	Corn	1253
Maize groats and meal	Corn	1081
Maize oil	Corn	2575
Maize starch	Corn	1671
Maize, green	Corn	700
Malt, not roasted		1950
Malt, roasted		2437
Mandarins		748
Mangoes		1800
Mangosteens		1800
Manila fibre	Abaca	20388
Melon seed		5184
Milk		1020
Milk powder		4745
Millet		4478
Mustard seeds		2809
Natural rubber		13748
Nectarines		910
Nutmeg	Mace	34319
Oat groats and meal		2536
Oats		1788
Oats, rolled or flaked grains		2416
Oil palm		1098
Okra		576
Olive oil		14726
Olive oil, virgin		14431
Olives		3015
Onions, dry		345
Onions, green	Shallots	272
Orange juice		1018
Oranges		560
Palm kernel oil	Babassu	5401
Palm nuts and kernels		2868
Palm oil		4971
Papayas		460
Pasta, dry		1849
Peaches		910
Peanut oil	Groundnuts	7529
Peanuts in shell	Groundnuts	2782
Peanuts shelled	Groundnuts	3974
Pears		922
Peas, dry		1979
Peas, green		595
Peppermint		288
Pigeon peas		5494
Pineapple juice		1273
Pineapples		255
Pistachios		11363
Plantains		1602
Plums		2180
Poppy seeds		2188
Pork	Pig meat, ham, bacon, sausage	5988
Potato flakes		1044
Potato flour and meal		1436
Potato starch		1512
Potatoes		287
Potatoes, tapioca		1436
Pumpkins		336
Raisin	Grapes, dried	2433
Ramie		4507
Rape oil		4301
Rapeseed		2271
Raspberries		413
Rice flour		2628
Rice groats and meal		2230
Rice, broken		2497
Rice, brown	Husked	2172
Rice, paddy		1673
Rye		1544
Rye flour		1930
Safflower seeds		7221
Sesame oil		21793
Sesame seed		9371
Sisal		7041
Sisal textile fibres		7824
Sloes		2180
Sorghum		3048
Sour cherries		1411
Soy milk		3763
Soy sauce	Soya	613
Soybean flour and meals	Soya	2523
Soybean oil	Soya	4190
Soybean paste	Soya	572
Soybeans	Soya	2145
Spinach		292
Squash		336
Strawberries		347
Sugar beet		132
Sugar, raw (beet)		865
Sugar, raw (cane)		1666
Sugar, refined		1782
Sugarcane	Sugar cane	210
Sunflower seed oil		6792
Sunflower seeds		3366
Sweet potatoes		383
Tangerines		748
Taro	Coco yam	606
Tea, green and black		8856
Tobacco		2925
Tofu	Soya, soybean curd	2523
Tomato juice		267
Tomato juice, concentrated		1069
Tomato ketchup		534
Tomato paste		855
Tomato puree		713
Tomato, dried		4276
Tomatoes		214
Tomatoes, peeled		267
Turnips		195
Vanilla beans		126505
Walnuts, shelled or peeled		9280
Walnuts, with shell		4918
Watermelons		235
Wheat		1827
Wheat bran	Pellets	2036
Wheat flour		1849
Wheat gluten		4189
Wheat starch		1436
Wine (grape)	Sparkling	869
Yams		343
