アーティチョーク		818
アーモンド（殻なし）		16095
アーモンド（殻付き）		8047
アガベイヌリン	リュウゼツラン	6549
麻（繊維）	アサ,あさ,	2447
麻（種子）	ヘンプシード,アサ,あさ	3685
アスパラガス		2150
アニス		8280
アブラヤシ	油椰子	1098
アブラヤシ（実および仁）	油椰子	2868
アプリコット	あんず,杏,アンズ	1287
アボカド		1981
亜麻（繊維）	あま,アマ	3783
亜麻仁	あまに,アマニ	5168
亜麻仁油	あまにあぶら,あまにゆ,アマニアブラ,アマニユ	9415
イチゴ	いちご,苺	347
イチジク	いちじく,無花果	3350
いなご豆	キャロブ,イナゴマメ,いなごまめ	5594
ウリ	うり,瓜	336
エンドウ豆（乾燥）	えんどう豆,えんどうまめ,エンドウマメ	1979
オーツ麦	エン麦,えんばく,オート麦,燕麦,エンバク	1788
オーツ麦フレーク	エン麦,えんばく,オート麦,燕麦,エンバク	2416
オートミール	皮むきオーツ麦,剥きオーツ,むきオーツ,エン麦,えんばく,オート麦,燕麦,エンバク	2536
オオバコ	大葉子,プランタン,おおばこ	1602
大麦	おおむぎ,オオムギ	1423
大麦（押し麦又はフレーク）	おおむぎ,オオムギ	1977
オクラ	おくら	576
オリーブ		3015
オリーブオイル		14726
オリーブオイル（バージン）		14431
オレンジ		560
オレンジジュース		1018
ガーリックパウダー	にんにく,ニンニク	2265
カシューアップル		3793
カシューナッツ		14218
片栗粉	ジャガイモ澱粉,ポテトスターチ,じゃがいも澱粉	1512
果糖	フルクトース	1782
かぶ	カブ	195
カボチャ（スクワッシュ）	南瓜,かぼちゃ	336
カボチャ（パンプキン）	南瓜,かぼちゃ	336
カラムシ	真麻,からむし	4507
カランツ	干しぶどう	499
カリフラワー		285
カルダモン	ショウズク,小荳蒄	34319
キウイ	キウイフルーツ	514
きび	キビ	4478
キマメ	きまめ	5494
キャッサバ（乾燥）	カッサバ,マニオク	1610
キャッサバ（でんぷん）	カッサバ,マニオク,澱粉	2254
キャッサバ（生）	カッサバ,マニオク	564
キャッサバ（粉末）	カッサバ,マニオク	1878
キャベツ	きゃべつ	280
