Абака, волокно		22654
Абрикосы		1287
Авокадо		1981
Агава, волокно		6549
Ананасовый сок		1273
Ананасы		255
Анис		8280
Апельсиновый сок		1018
Апельсины		560
Арахис в кожуре	Земляной орех	2782
Арахис чищеный	Земляной орех	3974
Арахисовая паста	Масло	7529
Арбуз		235
Артишоки		818
Бадьян	Анис звездчатый	8280
Баклажан	Паслён темноплодный, бадриджан	362
Бамия	Окра, дамские пальчики, гомбо	576
Бананы		790
Баранина	Мясо овец, ягнятина	10412
Батат		383
Бетельный орех		11165
Боб садовый сушёный	Боб конский	2018
Бобы зеленые		561
Бобы сушёные		5053
Брокколи	Спаржевая капуста	285
Брюссельская капуста		285
Ваниль		126505
Вино виноградное	Шампанское	869
Виноград		608
Вишня кислая	Обыкновенная	1411
Гвоздика, пряность		61205
Говядина	Мясо коровы, cтейк, грудинка, телятина, фарш, котлеты	15415
Голубиный горох		5494
Горох зелёный		595
Горох сушёный		1979
Горчица, семена		2809
Грейпфрутовый сок		675
Грейпфруты		506
Грецкий орех в скорлупе		4918
Грецкий орех очищенный		9280
Гречневая крупа	Гречка	3142
Груша		922
Гуайява		1800
Джут		2605
Зелёностручковая фасоль	Спаржевая, зелёная	547
Земляника	Клубника	347
Изюм		2433
Имбирь		1657
Инжир	Фига	3350
Какао тёртое		24238
Какао-бобы		19928
Какао-масло и жир		33938
Какао-порошок		15636
Капуста белокочанная		280
Кардамон		34319
Картофель	Картошка	287
Картофельная мука		1436
Картофельная тапиока		1436
Картофельные чипсы		1044
Картофельный крахмал		1512
Касторовое масло	Касторка	24740
Каштан, плоды		2750
Кешью	Орех	14218
Киви		514
Клементин		748
Клещевина, семена	Касторовое масло	9896
Клюква		276
Кожа крупного рогатого скота		17093
Козье мясо		5521
Койр	Кокосовое волокно	2449
Кокосовое масло	Копра	4490
Кокосы в кожуре		1256
Кокосы очищенные		2687
Кола, орехи		23391
Конопляные семена		3685
Копра		2093
Кориандр		8280
Кориандр, семена		8280
Корица, пряность		15526
Коровий горох	Вигна китайская	6906
Кофе зелёный		15897
Кофе обжаренный		18925
Крыжовник, плоды		526
Кукуруза	Маис	1222
Кукуруза зеленая		700
Кукурузная крупа	Маис	1081
Кукурузная мука	Маис	1253
Кукурузное масло	Маис	2575
Кукурузный крахмал	Маис	1671
Кунжутное масло	Сезамовое	21793
Кунжутные семечки		9371
Курятина	Мясо курицы	4325
Лагенария	Горлянка, калабас	336
Лайм		642
Латук, салат		237
Лимоны		642
Льняное масло		9415
Лён, волокно		3783
Лён, семена		5168
Мак, семена		2188
Макароны	Макаронные изделия	1849
Малина		413
Манго		1800
Мангостан	Мангустин	1800
Мандарины		748
Манильская пенька		20388
Маниок	Кассава	564
Маниок сушёный	Съедобный, кассава	1610
Маниок, крахмал	Кассава	2254
Маниок, мука	Кассава	1878
Маниок, тапиока	Кассава	2818
Масличная пальма	Элеис	1098
Масло		5553
Миндаль без кожуры		16095
Миндаль в кожуре		8047
Молоко		1020
Молоко сухое		4745
Морковь		195
Мускатный орех		34319
Мята перечная		288
Нектарины		910
Нут	Турецкий орех, бараний горох, шиш	4177
Овес		1788
Овсяная крупа		2536
Овсяные хлопья		2416
Огурцы		353
Оливки		3015
Оливковое масло (virgin)		14431
Оливковое масло очищенное		14726
Пальмовое масло		4971
Пальмовые ядра и семена		2868
Пальмоядровое масло		5401
Папайя	Дынное дерево	460
Пенька, волокно		2447
Перец свежий	Чили, красный, чёрный	7365
Перец сухой	Чили, красный, чёрный	379
Персики		910
Пиво		298
Плантан	Плантано	1602
Подсолнечник, семена	Семечки	3366
Подсолнечное масло		6792
Пшеница		1827
Пшеничная клейковина	Сейтан	4189
Пшеничная мука		1849
Пшеничные отруби		2036
Пшеничный крахмал		1436
Пшено		4478
Рами	Крапива китайская, бомерия белоснежная	4507
Рапс		2271
Рапс, масло		4301
Резина натуральная	Каучук	13748
Ржаная мука		1930
Рис дроблёный		2497
Рис коричневый		2172
Рис-сырец		1673
Рисовая крупа		2230
Рисовая мука		2628
Рожковое дерево, бобы		5594
Рожь		1544
Сафлор, семена	Дикий шафран	7221
Сахар белый	Рафинированный	1782
Сахар коричневый тростниковый		865
Сахар нерафинированый свекольный		1666
Сахарная свёкла		132
Сахарный тростник		210
Свинина	Мясо свиней, ветчина, колбаса	5988
Сизаловое волокно		7824
Сизаль	Агава сизалевая	7041
Сливы		2180
Смородина	Черная, красная, белая	499
Соя, бобы		2145
Соевая паста		572
Соевое масло		4190
Соевое молоко		3763
Соевый соус		613
Солод жареный		2437
Солод нежареный		1950
Солёные огурцы		353
Сорго		3048
Соевая мука		2523
Спаржа		2150
Сыр		5060
Табак		2925
Таро	Колоказия	606
Томатная паста	Помидоры	855
Томатное пюре	Помидоры	713
Томатный кетчуп	Помидоры	534
Томатный сок	Помидоры	267
Томатный сок концентрированный	Помидоры	1069
Томаты	Помидоры	214
Томаты вяленые	Помидоры	4276
Томаты очищенные	Помидоры	267
