八角	茴香，茴芹，大茴香	8280
芭蕉	大蕉	1602
白菜	卷心菜，洋白菜，高丽菜，椰菜，包包菜	280
白砂糖	白糖，精糖，精制糖	1782
板栗	栗，中国板栗，栗子，毛栗子	2750
薄荷	香薷，小荆芥	288
蓖麻油		24740
蓖麻子	蓖麻油籽	9896
扁豆	小扁豆，短豇豆，饭豇豆，短荚豇豆	5874
槟榔	榔玉，宾门，青仔	11165
菠菜	波斯草	292
菠萝	凤梨	255
菠萝汁		1273
菜豆	四季豆，豆角	547
菜花	花椰菜，花菜	285
菜油	菜子油，菜籽油	4301
蚕豆，干	马蚕豆	2018
草莓	洋莓，地莓，地果，红莓，地桃	347
朝天椒	辣子，辣角，牛角椒，红海椒	7365
橙汁	橘汁	1018
橙子	黄果，橙子，金球，金橙	560
醋栗	红醋栗，穗醋栗，黑醋栗	499
大豆	黄豆	2145
大豆粉	大豆面，大豆末	2523
大豆酱	黄豆酱	572
大豆油	黄豆油	4190
大麻纤维		2447
大麻种子	大麻籽，大麻籽油	3685
大麦	牟麦，饭麦，赤膊麦	1423
大米，糙米	玄米	2172
大米，米头	碎米	2497
大米，水稻	稻米，稻谷，稻子	1673
大米粉	粗米粉	2230
大米细粉	黏米粉，糯米粉	2628
大蒜	蒜，蒜头，独蒜，胡蒜	589
丁香	小鳞茎，丁香粉	61205
豆腐	白豆腐	2523
豆浆	黑豆浆，黄豆浆	3763
豆蔻	小豆蔻，白豆蔻	34319
豆子，干	扁豆，干燥豆	5053
豆子，青	绿豆，四季豆	561
鹅莓	红醋栗	526
番茄	西红柿	214
番茄，去皮	去皮西红柿	267
番茄干	干番茄	4276
番茄糊	番茄膏，西红柿酱	855
番茄酱	蕃茄沙司	534
番茄泥	西红柿泥	713
番茄汁	西红柿汁	267
番茄汁，浓缩	浓缩西红柿汁	1069
番石榴	芭乐，干番石榴	1800
甘蓝	小圆白菜，小卷心菜，芽卷心菜，芽甘蓝	285
甘蔗	薯蔗，糖蔗，黄皮果蔗	210
橄榄	黄榄，青果，山榄，白榄，红榄，青子，忠果	3015
橄榄油		14726
橄榄油，初榨		14431
高粱	蜀黍，桃黍，木稷，荻粱，乌禾，茭子，名禾	3048
鸽豆	鸽仔豆，凹子豆	5494
桂皮	肉桂	15526
果糖	左旋糖，D-果糖	1782
核桃，带壳	有壳核桃，青核桃	4918
核桃，去壳	去皮核桃，核桃仁	9280
黑麦	裸麦	1544
黑麦粉	黑麦面粉，裸麦面粉，裸麦粉	1930
红花子	红花籽	7221
红薯	地瓜，山芋，红苕，甜薯白薯，番芋	383
红枣	枣子，大枣，大甜枣	2277
胡萝卜	黄萝卜，番萝卜，丁香萝卜，小人参	195
胡荽子	八角茴香	8280
葫芦	葫芦壳，抽葫芦，壶芦，蒲芦	336
花生，带壳	有壳花生	2782
花生，脱壳	无壳花生	3974
花生油	落花生油	7529
黄瓜	胡瓜，刺瓜，王瓜，勤瓜，青瓜，唐瓜，吊瓜	353
黄麻	野黄麻，苦麻叶，络麻，火麻，牛泥刺	2605
黄油	乳脂，白脱油	5553
茴香	藏茴香，安启，印度小茴香	8280
鸡蛋	蛋子，蛋	3265
鸡肉	鸡脯肉，鸡胸肉	4325
剑麻	菠萝麻	7041
剑麻纤维		7824
姜	生姜，姜根，百辣云	1657
豇豆，干		6906
酱油	豉油	613
蕉麻纤维	马尼拉麻，吕宋麻	22654
角豆	长豆角，长子豆	5594
芥菜籽	芥末籽，芥末子	2809
橘子	桔子，柑橘，宽皮橘，蜜橘，黄橘，红橘，大红蜜橘，脐橙	748
咖啡，炒	烤制咖啡，焙炒咖啡	18925
咖啡，生	绿咖啡，生咖啡豆	15897
开心果	无名子，阿月浑子	11363
可可豆	咖啡豆	19928
可可粉		15636
可可膏	可可糊	24238
可可脂	可可油	33938
可乐果	可乐豆	23391
葵花籽	向日葵子，葵花子	3366
葵花籽油	向日葵籽油，葵花油	6792
蓝莓	蓝梅，笃斯，笃柿，嘟嗜，都柿，甸果	845
梨	梨子，黄梨，脆梨	922
李子	红李，秋根李，鸡血李，山李子	2180
龙舌兰纤维	龙舌兰草，龙舌掌，番麻，万年兰，百年草	6549
芦柑	蜜柑	748
芦笋	石刁柏，龙须菜	2150
萝卜	白萝卜，红萝卜，罗服，荠根，萝欠，芦菔，萝白	195
绿茶与红茶		8856
马尼拉纤维	蕉麻	20388
麦片	大麦片	1977
麦芽，烤	炒麦芽，烘烤麦芽	2437
麦芽，生	未烤麦芽	1950
蔓越莓	小红莓	276
芒果	檬果，杧果	1800
猕猴桃	奇异果，阳桃，羊桃， 狐狸桃，野梨，藤梨，猴仔梨	514
棉短绒	棉绒	2602
棉花籽	棉籽，棉子，棉籽仁	1332
棉绒	皮棉，棉籽绒	9113
棉织物	棉布，棉纤维	9982
棉子油	棉籽油，棉花籽油	3957
面条，干	干意面，干意大利面	1849
木瓜	番瓜，万寿果，木梨，铁脚梨，文冠果，木冬瓜，乳瓜，蓬生果	460
木薯	木薯粉，树薯，树薯粉	564
木薯	树薯	1436
木薯淀粉	树薯粉	2254
木薯粉	木薯块根，树薯粉	2818
木薯干	树薯干	1610
木薯细粉		1878
奶粉	乳粉	4745
奶酪	芝士，起士，起司，干酪	5060
南瓜	番瓜，北瓜，饭瓜，番南瓜，方瓜，麦瓜，倭瓜，金金瓜，吊瓜	336
嫩黄瓜	酸黄瓜，咸青瓜	353
柠檬与酸橙	青柠，檬子	642
牛奶	牛生乳	1020
牛皮	牛皮革，皮革	17093
牛肉	牛排，小牛肉	15415
牛油果	鳄梨	1981
啤酒，麦芽	全麦芽啤酒	298
啤酒花球果	蛇麻球果	4065
啤酒花提取物	啤酒花浸膏，啤酒花萃，蛇麻草萃取物	16259
苹果	新鲜苹果，红苹果，绿苹果	822
苹果干	干苹果	6847
苹果汁	鲜榨苹果汁，苹果原汁	1141
葡萄	提子，蒲桃，草龙珠，山葫芦，李桃	608
葡萄干	青葡萄干，绿葡萄干	2433
葡萄酒	红葡萄酒，白葡萄酒	869
荞麦	甜荞，乌麦，三角麦，花荞，荞子	3142
巧克力	朱古力	17196
茄子	茄，矮瓜，吊菜子，落苏，紫茄，白茄	362
青葱	大葱，葱，四季葱	272
青椒	甜椒，灯笼椒，青辣椒，绿辣椒	379
秋葵	羊角豆，糊麻，秋葵，补肾菜，黄秋葵	576
肉豆蔻	肉果，玉果	34319
山羊肉	羊排，小山羊肉	5521
山药	山芋，洋芋	343
山竹	山竺，山竹子，夫妻果	1800
生菜	鹅仔菜，莴仔菜，唛仔菜	237
树莓	覆盆，黑刺莓，木莓	413
酸樱桃	欧洲酸樱桃	1411
蒜粉	大蒜粉	2265
桃子	鲜桃，白桃，毛果子，山桃	910
天然橡胶		13748
甜菜	红甜菜，菾菜，红菜头	865
甜菜	甜菜根，甜菜头，红菜头	132
土豆	洋芋，荷兰薯，地蛋，薯仔，荷兰薯，番仔薯	287
土豆淀粉	马铃薯淀粉，太白粉，生粉	1512
土豆粉	洋芋粉，马铃薯粉	1436
土豆片	洋芋片，马铃薯片，马铃薯薄片	1044
豌豆，干	干豆	1979
豌豆，青	绿豌豆，青豌豆	595
